name,type,start_time,duration,"mosi","miso"
"SPI","enable",-0.00039575,0.000000042,,
"SPI","result",-0.000387292,0.000024042,0xFF,0xFF
"SPI","result",-0.000347625,0.000024042,0xFF,0xFF
"SPI","result",-0.0003075,0.000024042,0x40,0xFF
"SPI","result",-0.000268292,0.000024042,0x00,0xFF
"SPI","result",-0.000229042,0.000024042,0x00,0xFF
"SPI","result",-0.000189792,0.000024,0x00,0xFF
"SPI","result",-0.000150542,0.000024042,0x00,0xFF
"SPI","result",-0.000111292,0.000024042,0x95,0xFF
"SPI","result",-0.000071958,0.000024042,0xFF,0xFF
"SPI","result",-0.0000325,0.000024042,0xFF,0x01
"SPI","disable",-0,0.000000042,,
"SPI","enable",0.00004025,0.000000042,,
"SPI","result",0.000048708,0.000024042,0xFF,0xFF
"SPI","result",0.000088375,0.000024042,0xFF,0xFF
"SPI","result",0.0001285,0.000024042,0x48,0xFF
"SPI","result",0.000167708,0.000024042,0x00,0xFF
"SPI","result",0.000206958,0.000024042,0x00,0xFF
"SPI","result",0.000246167,0.000024042,0x01,0xFF
"SPI","result",0.000285417,0.000024042,0xAA,0xFF
"SPI","result",0.000324708,0.000024042,0x87,0xFF
"SPI","result",0.000364042,0.000024042,0xFF,0xFF
"SPI","result",0.0004035,0.000024042,0xFF,0x01
"SPI","result",0.00044325,0.000024042,0xFF,0x00
"SPI","result",0.0004825,0.000024042,0xFF,0x00
"SPI","result",0.000521708,0.000024042,0xFF,0x01
"SPI","result",0.00056075,0.000024042,0xFF,0xAA
"SPI","disable",0.00059375,0.000000042,,
"SPI","enable",0.000634,0.000000042,,
"SPI","result",0.0006425,0.000024042,0xFF,0xFF
"SPI","result",0.000682125,0.000024042,0xFF,0xFF
"SPI","result",0.000722292,0.000024,0x77,0xFF
"SPI","result",0.0007615,0.000024,0x00,0xFF
"SPI","result",0.00080075,0.000024042,0x00,0xFF
"SPI","result",0.000839958,0.000024042,0x00,0xFF
"SPI","result",0.000879208,0.000024042,0x00,0xFF
"SPI","result",0.000918458,0.000024,0x01,0xFF
"SPI","result",0.000957792,0.000024,0xFF,0xFF
"SPI","result",0.00099725,0.000024042,0xFF,0x01
"SPI","disable",0.001029333,0.000000042,,
